childId,childName,parentId,parentName
11621,Inch Kenneth,115,"UK cities, towns and villages"
11277,"Limehouse, St Anne's Church",9301,UK London
16954,Elihu,135,Bible: Old Testament
16956,"Job, chapters 32-5",135,Bible: Old Testament
16962,"Raphael, drawing, 'The Blinding of Elymas'",10639,"fine art and design, named works"
8079,Fascism - blonde woman,8028,politics
9659,destruction - bomber,1030,abstract concepts
15809,"dog, Newfoundland",67,animals: mammals
4971,"Greene, Stephen",102,named individuals
8100,mourning - candle,8024,society
17185,"Ilkley, Westwood Cottage",115,"UK cities, towns and villages"
22018,Thyrsis,716,characters
15288,goal post,285,sports and games
11292,"Vernon, Church of Notre-Dame",107,"cities, towns, villages (non-UK)"
15828,"Bellany, Julia",102,named individuals
9451,sling,90,weapons
19104,"Cologne, Jabachstrasse 4-8, Karl Rahner Akademie",107,"cities, towns, villages (non-UK)"
19103,"event: lecture, 'Joseph Beuys', Karl Rahner Akademie, Cologne, 1996",18725,arts
14244,"Nantes, Pont Pirmil",107,"cities, towns, villages (non-UK)"
16717,Saône valley,111,natural features (non-UK)
8670,appliance,171,medical
15694,Britain - lion,8025,countries
4499,pear,1809,trees
16646,"Clarges, Lady",102,named individuals
7337,"Litchfield, George Henry Lee, 3rd Earl of",102,named individuals
7338,"Litchfield, Robert Lee, 4th Earl of",102,named individuals
11134,"Deuteronomy, chapter 32",135,Bible: Old Testament
10946,"book, Barlow, Francis, 'Animals of Various Species'",174,"reading, writing, printed matter"
12042,Falcon Crag,112,UK natural features
12043,St Herbert's Island,112,UK natural features
12041,Walla Crag,112,UK natural features
11616,Kilmartin,115,"UK cities, towns and villages"
10565,Mers-les-Bains,107,"cities, towns, villages (non-UK)"
14580,"Oxford, St John's College",115,"UK cities, towns and villages"
23144,"Waters, Sally",102,named individuals
22988,"hat, boater",88,clothing and personal effects
9041,"Bisham, Bisham Abbey",115,"UK cities, towns and villages"
15637,River Orinoco,111,natural features (non-UK)
15636,"Ganzo, Robert, 'Orénoque'",58,literature (not Shakespeare)
18008,Kate,102,named individuals
18046,"New York, Paradise Garage",107,"cities, towns, villages (non-UK)"
17650,body paint,88,clothing and personal effects
18492,"Bachmann, Ingeborg",58,literature (not Shakespeare)
18565,"Judd, Donald",102,named individuals
19393,vortex,70,natural phenomena
19533,"Houshiary, Shirazeh, sculpture",10639,"fine art and design, named works"
9586,Madeley Dale,112,UK natural features
12016,Bowness-on-Windermere,115,"UK cities, towns and villages"
