id,material
54805,"on paper, unique Graphite on paper"
49002,"on paper, unique Graphite on paper"
25053,"on paper, unique Graphite, watercolour and gouache on paper"
16657,"on paper, print Line engraving on paper"
24954,"on paper, unique Graphite on paper"
30832,"on paper, unique Ink wash, graphite and watercolour on paper"
48903,"on paper, unique Graphite on paper"
6047,sculpture Elm
56367,"on paper, unique Graphite on paper"
22559,"on paper, unique Graphite, watercolour and ink on paper"
19151,"on paper, print Lithograph on paper"
34790,"on paper, unique Graphite and pen and ink on paper"
32395,"on paper, unique Chalk on paper"
46508,"on paper, unique Graphite on paper"
8442,painting Oil paint on canvas
62246,"on paper, unique Graphite on paper"
64641,"on paper, unique Graphite on paper"
58763,"on paper, unique Graphite on paper"
5949,"on paper, unique Charcoal on paper"
121730,"on paper, print 15 sheets of printed paper, card cover and staple bound"
54804,"on paper, unique Graphite on paper"
30837,"on paper, unique"
24951,"on paper, unique Graphite on paper"
284,painting Oil paint on wood
6040,sculpture Plaster on wooden base
20157,"on paper, unique Crayon and watercolour on paper"
22554,"on paper, unique Graphite, watercolour and ink on paper"
57300,"on paper, unique Graphite on paper"
33333,"on paper, unique Graphite on paper"
19156,"on paper, print Etching and aquatint on paper"
56368,"on paper, unique Graphite on paper"
25050,"on paper, unique Etching, chalk and watercolour on paper"
52407,"on paper, unique Gouache and graphite on paper"
58764,"on paper, unique Graphite on paper"
34797,"on paper, unique Pen and ink on paper"
49009,"on paper, unique Graphite on paper"
5942,painting Oil paint on canvas
25051,"on paper, unique Etching, chalk and watercolour on paper"
16659,"on paper, print Line engraving on paper"
30838,"on paper, unique"
24952,"on paper, unique Graphite on paper"
285,painting Oil paint on wood
6041,sculpture Bronze
22553,"on paper, unique Graphite, watercolour and ink on paper"
20158,"on paper, print Screenprint on paper"
57301,"on paper, unique Graphite on paper"
19157,"on paper, print Etching and aquatint on paper"
54803,"on paper, unique Graphite on paper"
33332,"on paper, unique Graphite on paper"
52408,"on paper, unique Chalk and graphite on paper"
50009,"on paper, unique Gouache and watercolour on paper"
48909,"on paper, unique Graphite on paper"
56369,"on paper, unique Graphite on paper"
34796,"on paper, unique Pen and ink on paper"
58765,"on paper, unique Graphite on paper"
99499,installation Ink on banknote
38229,"on paper, unique"
5943,painting Oil paint on paper mounted on canvas
49008,"on paper, unique Graphite on paper"
30839,"on paper, unique"
20159,"on paper, unique Crayon on paper. Verso: crayon on paper"
30835,"on paper, unique Gouache and graphite on paper"
